000002,Hip-Hop
000003,Hip-Hop
000005,Hip-Hop
000010,Pop
000134,Hip-Hop
000136,Rock
000139,Folk
000140,Folk
000141,Folk
000148,Experimental
000181,Rock
000182,Rock
000190,Folk
000193,Folk
000194,Folk
000197,Folk
000198,Folk
000200,Folk
000203,Folk
000204,Folk
000207,Folk
000208,Folk
000209,Folk
000210,Folk
000211,Folk
000212,Folk
000213,Pop
000237,Jazz
000247,Rock
000249,Rock
000255,Rock
000256,Rock
000257,Rock
000258,Rock
000341,Rock
000343,Rock
000352,Rock
000368,Rock
000369,Rock
000397,Electronic
000398,Electronic
000399,Electronic
000400,Electronic
000405,Electronic
000414,Electronic
000424,Experimental
000425,Experimental
000458,Rock
000459,Rock
000512,Rock
000534,Folk
000535,Folk
000536,Folk
000537,Folk
000540,Folk
000546,Folk
000550,Electronic
000564,Rock
000573,Rock
000574,Rock
000583,Hip-Hop
000584,Hip-Hop
000585,Hip-Hop
000590,Jazz
000591,Jazz
000592,Jazz
000593,Jazz
000602,Folk
000603,Folk
000605,Rock
000608,Rock
000615,Experimental
000619,Folk
000620,Folk
000621,Folk
000625,Folk
000629,Folk
000631,Folk
000633,Rock
000635,Rock
000664,Electronic
000665,Electronic
000666,International
000667,International
000668,Hip-Hop
000669,Hip-Hop
000672,Hip-Hop
000673,Hip-Hop
000674,Hip-Hop
000676,Hip-Hop
000677,Hip-Hop
000679,Hip-Hop
000680,Hip-Hop
000681,Hip-Hop
000684,Hip-Hop
000686,Hip-Hop
000690,Rock
000694,Hip-Hop
000695,Hip-Hop
000696,Rock
000698,Rock
000701,Rock
000702,Rock
000703,Rock
000704,International
000705,International
000706,International
000707,International
000708,International
000709,International
000714,Folk
000715,Folk
000716,Folk
000717,Folk
000718,Folk
000720,Rock
000734,Soul-RnB
000735,Soul-RnB
000736,Soul-RnB
000737,Soul-RnB
000738,Soul-RnB
000739,Soul-RnB
000740,Soul-RnB
000741,Soul-RnB
000742,Soul-RnB
000743,Soul-RnB
000744,Soul-RnB
000745,Soul-RnB
000747,Soul-RnB
000748,Soul-RnB
000749,Soul-RnB
000750,Soul-RnB
000751,Soul-RnB
000752,Soul-RnB
000753,Soul-RnB
000754,Soul-RnB
000755,Soul-RnB
000756,Soul-RnB
000757,Soul-RnB
000758,Soul-RnB
000759,Soul-RnB
000760,Soul-RnB
000761,Soul-RnB
000762,Soul-RnB
000763,Soul-RnB
000764,Soul-RnB
000765,Soul-RnB
000766,Soul-RnB
000767,Soul-RnB
000768,Soul-RnB
000769,Soul-RnB
000770,Soul-RnB
000771,Soul-RnB
000772,Soul-RnB
000773,Soul-RnB
000774,Soul-RnB
000775,Soul-RnB
000776,Soul-RnB
000777,Rock
000814,Folk
000819,Experimental
000820,Experimental
000821,Pop
000822,Pop
000823,Pop
000824,Rock
000825,Rock
000826,Rock
000829,Rock
000830,Rock
000831,Jazz
000832,Jazz
000833,Jazz
000834,Jazz
000835,Jazz
000853,International
000854,Experimental
000855,Rock
000858,Rock
000861,Rock
000863,Rock
000868,Experimental
000878,Electronic
000881,Electronic
000889,Electronic
000890,Folk
000891,Folk
000892,Folk
000893,Folk
000894,Folk
000895,Folk
000896,Rock
000897,Experimental
000898,Experimental
000992,Rock
000993,Rock
000995,Experimental
000997,Experimental
000998,Experimental
001014,Rock
001015,Rock
001016,Rock
001017,Rock
001018,Rock
001022,Jazz
